file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src-gen/main/java/io/vavr/API.java,io.vavr.API$For4Future,innerclass,8,8,0,8,2,1,0,6,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,4,0,0,4,0,0,4,0,1,16,1,0,0,0,0,1,0,4,0,8,0,0,0,4,42,9,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src-gen/main/java/io/vavr/Tuple.java,io.vavr.Tuple,interface,21,130,109,21,36,1,0,51,630,1.0,0.0,0.0,36,34,0,0,0,36,36,0,0,0,2,0,0,0,0,2,0,0,54,167,34,0,0,0,0,17,44,52,70,17,0,0,0,0,144,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src-gen/main/java/io/vavr/API.java,io.vavr.API$ForLazy8Try,innerclass,19,19,0,19,2,1,0,17,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,8,0,0,8,0,0,8,0,1,45,8,0,0,0,0,1,0,8,0,16,7,0,0,8,93,9,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src/test/java/io/vavr/AbstractValueTest.java,io.vavr.AbstractValueTest,class,52,121,69,52,175,1,9,253,6670,0.0,0.0,0.0,116,0,101,1,14,0,115,5,0,0,0,0,0,0,0,0,0,0,126,811,11,0,8,0,3,57,473,153,5,181,2,8,0,50,201,1025,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src/main/java/io/vavr/collection/IndexedSeq.java,io.vavr.collection.IndexedSeqModule,interface,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src/main/java/io/vavr/concurrent/Promise.java,io.vavr.concurrent.Promise,interface,7,10,3,7,22,1,0,20,210,0.0,0.0,0.0,21,9,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,19,72,18,0,0,0,0,9,0,0,0,0,1,0,0,0,172,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src-gen/main/java/io/vavr/API.java,io.vavr.API$Match$Pattern7,innerclass,20,20,0,20,2,1,0,0,1,1.0,0.0,0.0,2,1,1,0,1,0,2,0,0,0,1,1,0,1,0,0,1,0,0,23,1,0,0,0,0,0,1,1,0,1,0,1,0,0,85,1033,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src-gen/main/java/io/vavr/API.java,io.vavr.API$Match$Pattern6,innerclass,18,18,0,18,2,1,0,0,1,1.0,0.0,0.0,2,1,1,0,1,0,2,0,0,0,1,1,0,1,0,0,1,0,0,23,1,0,0,0,0,0,1,1,0,1,0,1,0,0,82,1033,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src-gen/main/java/io/vavr/API.java,io.vavr.API$Match$Pattern5,innerclass,16,16,0,16,2,1,0,0,1,1.0,0.0,0.0,2,1,1,0,1,0,2,0,0,0,1,1,0,1,0,0,1,0,0,23,1,0,0,0,0,0,1,1,0,1,0,1,0,0,79,1033,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src-gen/main/java/io/vavr/API.java,io.vavr.API$Match$Pattern4,innerclass,14,14,0,14,2,1,0,0,1,1.0,0.0,0.0,2,1,1,0,1,0,2,0,0,0,1,1,0,1,0,0,1,0,0,23,1,0,0,0,0,0,1,1,0,1,0,1,0,0,76,1033,0
