owner,repo,full_name,html_url,stargazers_count,forks_count,open_issues_count,language,created_at,pushed_at,default_branch,total_prs,review_probe_pr,review_probe_state,review_probe_human_reviewer
microsoft,VibeVoice,microsoft/VibeVoice,https://github.com/microsoft/VibeVoice,45661,5044,149,Python,2025-08-25T13:24:01Z,2026-04-24T17:12:20Z,main,140,364,APPROVED,Uthen242
android,architecture-samples,android/architecture-samples,https://github.com/android/architecture-samples,45646,11870,219,Kotlin,2016-02-05T13:42:07Z,2026-04-28T15:42:22Z,main,512,1064,APPROVED,JoseAlcerreca
lukasz-madon,awesome-remote-job,lukasz-madon/awesome-remote-job,https://github.com/lukasz-madon/awesome-remote-job,45480,4592,53,,2015-01-02T00:31:34Z,2026-01-12T01:29:57Z,master,909,1018,APPROVED,Mrstragr
google,zx,google/zx,https://github.com/google/zx,45444,1260,39,JavaScript,2021-05-05T05:50:01Z,2026-04-20T06:14:23Z,main,798,1445,APPROVED,antongolub
jestjs,jest,jestjs/jest,https://github.com/jestjs/jest,45335,6646,247,TypeScript,2013-12-10T00:18:04Z,2026-04-29T22:08:18Z,main,7691,16006,APPROVED,SimenB
twentyhq,twenty,twentyhq/twenty,https://github.com/twentyhq/twenty,45320,6260,92,TypeScript,2022-12-01T13:04:40Z,2026-04-29T21:27:42Z,main,12893,20068,COMMENTED,FelixMalfait
apache,airflow,apache/airflow,https://github.com/apache/airflow,45238,16969,1716,Python,2015-04-13T18:04:58Z,2026-04-29T23:02:10Z,main,46080,66134,APPROVED,seanghaeli
BerriAI,litellm,BerriAI/litellm,https://github.com/BerriAI/litellm,45228,7661,2781,Python,2023-07-27T00:09:52Z,2026-04-29T23:40:24Z,litellm_internal_staging,13482,26793,COMMENTED,ishaan-berri
RocketChat,Rocket.Chat,RocketChat/Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,45217,13543,3675,TypeScript,2015-05-19T07:36:09Z,2026-04-29T23:31:00Z,develop,21829,39859,CHANGES_REQUESTED,aleksandernsilva
remotion-dev,remotion,remotion-dev/remotion,https://github.com/remotion-dev/remotion,45208,3066,97,TypeScript,2020-06-23T19:49:10Z,2026-04-29T20:34:06Z,main,4732,7186,CHANGES_REQUESTED,JonnyBurger
coqui-ai,TTS,coqui-ai/TTS,https://github.com/coqui-ai/TTS,45193,6062,7,Python,2020-05-20T15:45:28Z,2024-08-16T12:07:14Z,dev,786,4404,APPROVED,sapreparth
Leaflet,Leaflet,Leaflet/Leaflet,https://github.com/Leaflet/Leaflet,44932,6117,545,JavaScript,2010-09-22T16:57:44Z,2026-04-20T14:49:55Z,main,4577,10176,APPROVED,jonkoops
