file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/main/java/com/facebook/presto/operator/scalar/RowDistinctFromOperator.java,com.facebook.presto.operator.scalar.RowDistinctFromOperator,class,13,14,1,13,12,2,0,29,6,0.8333333,0.0,0.0,4,2,3,1,0,0,3,0,0,0,3,3,1,2,0,0,3,0,8,52,6,2,3,1,0,7,1,16,0,14,3,0,0,0,79,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/test/java/com/facebook/presto/geospatial/TestSpatialJoinOperator.java,com.facebook.presto.geospatial.TestSpatialJoinOperator,class,31,32,1,31,26,1,0,71,72,0.7810457,0.0,0.0,17,1,11,6,0,0,11,0,0,0,18,16,0,18,0,0,16,0,24,215,4,6,0,1,1,184,121,85,18,108,3,0,1,9,144,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/test/java/com/facebook/presto/operator/TestTableFinishOperator.java,com.facebook.presto.operator.TestTableFinishOperator$TestingTableFinisher,innerclass,4,4,0,4,3,1,0,2,0,0.44444445,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,1,18,3,0,0,0,0,1,0,3,0,3,0,0,0,0,14,10,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/test/java/com/facebook/presto/operator/scalar/TestArraySumFunction.java,com.facebook.presto.operator.scalar.TestArraySumFunction,class,2,2,0,2,3,2,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,21,20,0,0,0,0,0,0,0,33,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/main/java/com/facebook/presto/testing/AggregationTestUtils.java,com.facebook.presto.testing.AggregationTestUtils,class,6,7,1,6,4,1,0,8,6,0.0,0.0,0.0,4,3,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/test/java/com/facebook/presto/sql/planner/assertions/RvalueMatcher.java,com.facebook.presto.sql.planner.assertions.RvalueMatcher,interface,5,15,10,5,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-verifier/src/main/java/com/facebook/presto/verifier/checksum/ColumnChecksum.java,com.facebook.presto.verifier.checksum.ColumnChecksum,class,0,3,3,0,3,1,3,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1025,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/main/java/com/facebook/presto/sql/planner/optimizations/CteProjectionAndPredicatePushDown.java,com.facebook.presto.sql.planner.optimizations.CteProjectionAndPredicatePushDown$CtePredicateAndProjectionExtractor,innerclass,17,17,0,17,21,4,0,36,55,0.90909094,0.0,0.0,11,0,6,5,0,0,6,0,0,0,3,0,0,3,0,0,3,0,8,102,16,1,2,0,7,5,2,31,2,32,1,0,0,2,66,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-verifier/src/main/java/com/facebook/presto/verifier/resolver/FailureResolverModule.java,com.facebook.presto.verifier.resolver.FailureResolverModule$Builder,innerclass,4,4,0,4,3,1,0,2,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,15,3,0,0,0,0,0,0,2,0,2,0,0,0,0,14,9,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/main/java/com/facebook/presto/operator/aggregation/state/LongDecimalWithOverflowStateFactory.java,com.facebook.presto.operator.aggregation.state.LongDecimalWithOverflowStateFactory,class,5,7,2,5,4,2,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,93,4,0,0,0,0,0,0,0,0,0,0,0,2,0,11,1,0
