file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-x/app/src/androidTest/java/com/jeremyliao/lebapp/LiveEventBusTest.java,LiveEventBusTest$Anonymous49,onChanged/1[String],false,777,2,0,0,0,1,2,3,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-x/app/src/androidTest/java/com/jeremyliao/lebapp/LiveEventBusTest.java,LiveEventBusTest$Anonymous47,onChanged/1[String],false,734,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-x/app/src/androidTest/java/com/jeremyliao/lebapp/LiveEventBusTest.java,LiveEventBusTest$Anonymous48,onChanged/1[Boolean],false,754,2,0,0,0,1,2,3,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/androidTest/java/com/jeremyliao/lebapp/LiveEventBusTest.java,com.jeremyliao.lebapp.LiveEventBusTest$Anonymous1,run/0,false,57,2,29,0,29,1,2,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-v2/liveeventbus-v2/src/main/java/com/jeremyliao/liveeventbus/liveevent/SafeIterableMap.java,com.jeremyliao.liveeventbus.liveevent.SafeIterableMap$IteratorWithAdditions,hasNext/0,false,312,0,0,0,0,4,0,6,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,7,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-v2/liveeventbus-v2/src/main/java/com/jeremyliao/liveeventbus/liveevent/SafeIterableMap.java,com.jeremyliao.liveeventbus.liveevent.SafeIterableMap$IteratorWithAdditions,"supportRemove/1[com.jeremyliao.liveeventbus.liveevent.SafeIterableMap.Entry<K,V>]",false,304,4,0,0,0,2,0,6,0,0,1,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,8,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-v2/liveeventbus-v2/src/main/java/com/jeremyliao/liveeventbus/liveevent/SafeIterableMap.java,com.jeremyliao.liveeventbus.liveevent.SafeIterableMap$IteratorWithAdditions,next/0,false,320,3,0,0,0,3,0,10,1,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,7,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/androidTest/java/com/jeremyliao/lebapp/LiveEventBusTest.java,com.jeremyliao.lebapp.LiveEventBusTest$Anonymous2,run/0,false,80,2,29,0,29,1,2,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/androidTest/java/com/jeremyliao/lebapp/LiveEventBusTest.java,com.jeremyliao.lebapp.LiveEventBusTest$Anonymous3,run/0,false,106,2,29,0,29,1,2,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-x/app/src/androidTest/java/com/jeremyliao/lebapp/obj/GoodBean.java,GoodBean,"GoodBean/2[int,String]",true,15,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-x/app/src/androidTest/java/com/jeremyliao/lebapp/obj/GoodBean.java,GoodBean,GoodBean/0,true,20,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-x/app/src/androidTest/java/com/jeremyliao/lebapp/obj/GoodBean.java,GoodBean,setIntValue/1[int],false,27,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-x/app/src/androidTest/java/com/jeremyliao/lebapp/obj/GoodBean.java,GoodBean,getStrValue/0,false,31,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-x/app/src/androidTest/java/com/jeremyliao/lebapp/obj/GoodBean.java,GoodBean,setStrValue/1[String],false,35,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
