repo,stars,age_days,age_years,merged_prs,releases,days_since_update,language,closed_issues,total_issues,closed_issue_ratio
frappe/erpnext,32144,5388,14.75,28748,1000,0,Python,15816,17763,0.8904
PDFMathTranslate/PDFMathTranslate,32139,549,1.5,136,24,104,Python,732,858,0.8531
linera-io/linera-protocol,32136,1541,4.22,3558,31,0,Rust,903,1452,0.6219
cockroachdb/cockroach,32037,4414,12.08,72900,0,0,Go,75896,82535,0.9196
NginxProxyManager/nginx-proxy-manager,32022,3000,8.21,683,86,0,TypeScript,2365,3193,0.7407
nicolargo/glances,32006,5209,14.26,773,56,0,Python,2037,2162,0.9422
lovell/sharp,31992,4584,12.55,311,107,1,JavaScript,3912,4030,0.9707
casey/just,31940,3552,9.72,1376,131,0,Rust,1009,1353,0.7458
PostHog/posthog,31940,2236,6.12,34792,86,0,Python,6365,9101,0.6994
hasura/graphql-engine,31914,2821,7.72,2110,300,0,TypeScript,4165,6410,0.6498
dokku/dokku,31898,4657,12.75,4529,317,0,Shell,2818,2844,0.9909
niklasvh/html2canvas,31811,5350,14.65,186,45,599,TypeScript,1664,2633,0.632
Chanzhaoyu/chatgpt-web,31797,1124,3.08,159,43,570,Vue,1746,1746,1.0
valinet/ExplorerPatcher,31791,1673,4.58,19,296,125,C,2359,2662,0.8862
microsoft/MS-DOS,31762,2813,7.7,37,0,682,Assembly,0,0,
kovidgoyal/kitty,31758,3431,9.39,1246,132,0,Python,6662,6671,0.9987
continuedev/continue,31742,1020,2.79,3900,803,0,TypeScript,4521,5642,0.8013
airbnb/lottie-web,31738,4034,11.04,136,0,189,JavaScript,2128,2908,0.7318
moeru-ai/airi,31734,463,1.27,677,52,0,TypeScript,264,317,0.8328
amix/vimrc,31719,5032,13.78,107,0,519,Vim Script,510,523,0.9751
vbenjs/vue-vben-admin,31697,2067,5.66,1749,61,2,Vue,3824,3904,0.9795
TauricResearch/TradingAgents,31674,436,1.19,19,1,12,Python,33,197,0.1675
ReactiveX/rxjs,31652,4012,10.98,2588,2,378,TypeScript,2942,3165,0.9295
facebook/rocksdb,31616,4847,13.27,620,212,2,C++,2650,3502,0.7567
codex-team/editor.js,31588,3753,10.28,870,107,3,TypeScript,937,1540,0.6084
ianstormtaylor/slate,31580,3551,9.72,1980,210,5,TypeScript,2549,3228,0.7897
patchy631/ai-engineering-hub,31578,504,1.38,62,0,10,Jupyter Notebook,14,44,0.3182
numpy/numpy,31578,5655,15.48,13938,140,0,Python,11730,13824,0.8485
kubernetes/minikube,31561,3614,9.89,9396,154,6,Go,9940,10453,0.9509
shardeum/shardeum,31560,691,1.89,326,0,175,TypeScript,35,40,0.875
tinygrad/tinygrad,31528,1968,5.39,10547,14,0,Python,959,1083,0.8855
OWASP/CheatSheetSeries,31514,2635,7.21,1199,0,3,Python,580,630,0.9206
MHSanaei/3x-ui,31510,1123,3.07,642,102,1,HTML,2279,2696,0.8453
