owner,repo,status,message
openjdk,jdk,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/openjdk__jdk', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/openjdk__jdk']' returned non-zero exit status 1."
brettwooldridge,HikariCP,ok,
thingsboard,thingsboard,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/thingsboard__thingsboard', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/thingsboard__thingsboard']' returned non-zero exit status 1."
google,ExoPlayer,ok,
mybatis,mybatis-3,ok,
didi,DoKit,ok,
ReactiveX,RxAndroid,ok,
linlinjava,litemall,ok,
yudaocode,SpringBoot-Labs,ok,
oracle,graal,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/oracle__graal', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/oracle__graal']' returned non-zero exit status 1."
dianping,cat,ok,
apache,shardingsphere,ok,
Baseflow,PhotoView,ok,
antlr,antlr4,ok,
lionsoul2014,ip2region,ok,
dromara,Sa-Token,ok,
Tencent,APIJSON,ok,
YunaiV,yudao-cloud,ok,
forezp,SpringCloudLearning,ok,
JetBrains,intellij-community,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JetBrains__intellij-community', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/JetBrains__intellij-community']' returned non-zero exit status 1."
LMAX-Exchange,disruptor,ok,
infinilabs,analysis-ik,ok,
openzipkin,zipkin,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/openzipkin__zipkin', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/openzipkin__zipkin']' returned non-zero exit status 1."
Tencent,tinker,ok,
williamfiset,Algorithms,ok,
justauth,JustAuth,ok,
gyoogle,tech-interview-for-developer,ok,
baomidou,mybatis-plus,ok,
ben-manes,caffeine,ok,
nostra13,Android-Universal-Image-Loader,ok,
facebook,fresco,ok,
heibaiying,BigData-Notes,ok,
alibaba,DataX,ok,
material-components,material-components-android,ok,
winterbe,java8-tutorial,ok,
Grasscutters,Grasscutter,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/Grasscutters__Grasscutter', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/Grasscutters__Grasscutter']' returned non-zero exit status 1."
JeffLi1993,springboot-learning-example,ok,
shuzheng,zheng,ok,
ashishps1,awesome-leetcode-resources,ok,
android-hacker,VirtualXposed,ok,
neo4j,neo4j,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/neo4j__neo4j', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/neo4j__neo4j']' returned non-zero exit status 1."
dyc87112,SpringBoot-Learning,ok,
android10,Android-CleanArchitecture,ok,
questdb,questdb,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/questdb__questdb', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/questdb__questdb']' returned non-zero exit status 1."
Konloch,bytecode-viewer,ok,
mockito,mockito,ok,
Anuken,Mindustry,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/Anuken__Mindustry', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/Anuken__Mindustry']' returned non-zero exit status 1."
kestra-io,kestra,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/kestra-io__kestra', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/kestra-io__kestra']' returned non-zero exit status 1."
