pair_id,repository,owner,repo,scenario_id,scenario_name,run_number,rest_elapsed_ms,graphql_elapsed_ms,delta_elapsed_ms,delta_elapsed_pct,rest_response_bytes,graphql_response_bytes,delta_response_bytes,delta_response_pct,rest_request_count,graphql_request_count
mem0ai/mem0:C3:run022,mem0ai/mem0,mem0ai,mem0,C3,recent_issues,22,564.228,483.346,-80.882,-14.335,38113,2631,-35482,-93.097,1,1
mem0ai/mem0:C3:run023,mem0ai/mem0,mem0ai,mem0,C3,recent_issues,23,769.641,473.765,-295.876,-38.443,38113,2631,-35482,-93.097,1,1
mem0ai/mem0:C3:run024,mem0ai/mem0,mem0ai,mem0,C3,recent_issues,24,665.406,493.822,-171.584,-25.786,36597,2602,-33995,-92.890,1,1
mem0ai/mem0:C3:run025,mem0ai/mem0,mem0ai,mem0,C3,recent_issues,25,680.805,472.336,-208.469,-30.621,35810,2545,-33265,-92.893,1,1
mem0ai/mem0:C3:run026,mem0ai/mem0,mem0ai,mem0,C3,recent_issues,26,564.950,481.578,-83.372,-14.757,36458,2470,-33988,-93.225,1,1
mem0ai/mem0:C3:run027,mem0ai/mem0,mem0ai,mem0,C3,recent_issues,27,779.603,475.680,-303.923,-38.984,36485,2472,-34013,-93.225,1,1
mem0ai/mem0:C3:run028,mem0ai/mem0,mem0ai,mem0,C3,recent_issues,28,987.512,505.826,-481.686,-48.778,36961,2474,-34487,-93.306,1,1
mem0ai/mem0:C3:run029,mem0ai/mem0,mem0ai,mem0,C3,recent_issues,29,1123.461,510.690,-612.771,-54.543,36961,2474,-34487,-93.306,1,1
mem0ai/mem0:C3:run030,mem0ai/mem0,mem0ai,mem0,C3,recent_issues,30,682.489,709.455,26.966,3.951,39686,2444,-37242,-93.842,1,1
mem0ai/mem0:C4:run001,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,1,1836.662,756.883,-1079.779,-58.790,223965,5852,-218113,-97.387,3,1
mem0ai/mem0:C4:run002,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,2,1926.614,911.148,-1015.466,-52.707,223965,5852,-218113,-97.387,3,1
mem0ai/mem0:C4:run003,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,3,1613.415,739.082,-874.333,-54.191,223965,5852,-218113,-97.387,3,1
mem0ai/mem0:C4:run004,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,4,2076.673,708.996,-1367.677,-65.859,223965,5852,-218113,-97.387,3,1
mem0ai/mem0:C4:run005,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,5,1873.710,665.609,-1208.101,-64.476,223965,5852,-218113,-97.387,3,1
mem0ai/mem0:C4:run006,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,6,1941.613,997.613,-944.000,-48.619,223965,5852,-218113,-97.387,3,1
mem0ai/mem0:C4:run007,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,7,1720.556,715.712,-1004.844,-58.402,223965,5852,-218113,-97.387,3,1
mem0ai/mem0:C4:run008,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,8,1726.700,924.426,-802.274,-46.463,223965,5852,-218113,-97.387,3,1
mem0ai/mem0:C4:run009,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,9,1899.899,758.970,-1140.929,-60.052,223965,5852,-218113,-97.387,3,1
mem0ai/mem0:C4:run010,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,10,2270.079,712.438,-1557.641,-68.616,223965,5852,-218113,-97.387,3,1
mem0ai/mem0:C4:run011,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,11,1862.856,699.303,-1163.553,-62.461,223965,5852,-218113,-97.387,3,1
mem0ai/mem0:C4:run012,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,12,1950.898,717.080,-1233.818,-63.244,223965,5852,-218113,-97.387,3,1
mem0ai/mem0:C4:run013,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,13,2005.142,825.061,-1180.081,-58.853,223965,5852,-218113,-97.387,3,1
mem0ai/mem0:C4:run014,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,14,1680.456,913.455,-767.001,-45.642,209852,5897,-203955,-97.190,3,1
mem0ai/mem0:C4:run015,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,15,1861.843,1214.812,-647.031,-34.752,209852,5897,-203955,-97.190,3,1
mem0ai/mem0:C4:run016,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,16,1902.571,1019.527,-883.044,-46.413,209852,5897,-203955,-97.190,3,1
mem0ai/mem0:C4:run017,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,17,1877.323,840.974,-1036.349,-55.204,209852,5897,-203955,-97.190,3,1
mem0ai/mem0:C4:run018,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,18,1989.635,837.380,-1152.255,-57.913,209852,5897,-203955,-97.190,3,1
mem0ai/mem0:C4:run019,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,19,2258.185,817.946,-1440.239,-63.779,210699,5901,-204798,-97.199,3,1
mem0ai/mem0:C4:run020,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,20,1805.034,908.168,-896.866,-49.687,210223,5915,-204308,-97.186,3,1
mem0ai/mem0:C4:run021,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,21,1866.432,901.864,-964.568,-51.680,210223,5915,-204308,-97.186,3,1
mem0ai/mem0:C4:run022,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,22,2182.989,716.651,-1466.338,-67.171,210223,5915,-204308,-97.186,3,1
mem0ai/mem0:C4:run023,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,23,1925.853,833.745,-1092.108,-56.708,210223,5915,-204308,-97.186,3,1
mem0ai/mem0:C4:run024,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,24,2184.378,746.504,-1437.874,-65.825,208608,5881,-202727,-97.181,3,1
mem0ai/mem0:C4:run025,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,25,1777.819,707.353,-1070.466,-60.212,209522,5804,-203718,-97.230,3,1
mem0ai/mem0:C4:run026,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,26,1958.411,817.129,-1141.282,-58.276,210170,5729,-204441,-97.274,3,1
mem0ai/mem0:C4:run027,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,27,1914.381,894.927,-1019.454,-53.252,212568,5711,-206857,-97.313,3,1
mem0ai/mem0:C4:run028,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,28,2070.874,830.542,-1240.332,-59.894,212959,5726,-207233,-97.311,3,1
mem0ai/mem0:C4:run029,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,29,2047.079,826.606,-1220.473,-59.620,214054,5734,-208320,-97.321,3,1
mem0ai/mem0:C4:run030,mem0ai/mem0,mem0ai,mem0,C4,combined_repository_prs_issues,30,1968.794,894.930,-1073.864,-54.544,216779,5704,-211075,-97.369,3,1
meta-llama/llama:C1:run001,meta-llama/llama,meta-llama,llama,C1,repository_metadata,1,420.738,520.667,99.929,23.751,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run002,meta-llama/llama,meta-llama,llama,C1,repository_metadata,2,543.108,470.659,-72.449,-13.340,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run003,meta-llama/llama,meta-llama,llama,C1,repository_metadata,3,435.082,455.972,20.890,4.801,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run004,meta-llama/llama,meta-llama,llama,C1,repository_metadata,4,445.435,486.362,40.927,9.188,6189,430,-5759,-93.052,1,1
